term,coefficient,std_error,p_value
Intercept,0.24313819500405376,0.007570102748908783,2.4550588307020904e-226
C(month)[T.2024-07-01 00:00:00],0.021749999999958556,0.009453417590337429,0.021405470104446704
C(month)[T.2024-08-01 00:00:00],0.014749999999997938,0.00943030993133746,0.11779278535366941
C(month)[T.2024-09-01 00:00:00],0.0231153807413065,0.010420928649010676,0.026543312482717477
C(month)[T.2024-10-01 00:00:00],0.041865380741283854,0.010478795033004116,6.462667479652356e-05
C(month)[T.2024-11-01 00:00:00],0.028115380741311355,0.010253549463910246,0.006106365620373501
C(month)[T.2024-12-01 00:00:00],0.026615380741313366,0.01027511184230188,0.009589887096923502
pilot_group,-0.0062930039632054895,0.008611888480918355,0.46494134257304354
interaction,0.06557211925869359,0.010645285869014939,7.286766981633289e-10
